#           k/h    P           
    0.44142E-02    0.14214E+05
    0.44586E-02    0.14317E+05
    0.45034E-02    0.14420E+05
    0.45486E-02    0.14524E+05
    0.45944E-02    0.14628E+05
    0.46405E-02    0.14732E+05
    0.46872E-02    0.14837E+05
    0.47343E-02    0.14942E+05
    0.47819E-02    0.15047E+05
    0.48299E-02    0.15152E+05
    0.48785E-02    0.15258E+05
    0.49275E-02    0.15364E+05
    0.49770E-02    0.15470E+05
    0.50270E-02    0.15577E+05
    0.50776E-02    0.15684E+05
    0.51286E-02    0.15791E+05
    0.51801E-02    0.15898E+05
    0.52322E-02    0.16006E+05
    0.52848E-02    0.16114E+05
    0.53379E-02    0.16221E+05
    0.53915E-02    0.16330E+05
    0.54457E-02    0.16438E+05
    0.55004E-02    0.16546E+05
    0.55557E-02    0.16655E+05
    0.56116E-02    0.16764E+05
    0.56680E-02    0.16873E+05
    0.57249E-02    0.16982E+05
    0.57825E-02    0.17091E+05
    0.58406E-02    0.17200E+05
    0.58993E-02    0.17310E+05
    0.59586E-02    0.17419E+05
    0.60184E-02    0.17529E+05
    0.60789E-02    0.17638E+05
    0.61400E-02    0.17748E+05
    0.62017E-02    0.17858E+05
    0.62641E-02    0.17967E+05
    0.63270E-02    0.18077E+05
    0.63906E-02    0.18187E+05
    0.64548E-02    0.18296E+05
    0.65197E-02    0.18406E+05
    0.65852E-02    0.18515E+05
    0.66514E-02    0.18625E+05
    0.67183E-02    0.18734E+05
    0.67858E-02    0.18843E+05
    0.68540E-02    0.18952E+05
    0.69229E-02    0.19061E+05
    0.69924E-02    0.19169E+05
    0.70627E-02    0.19278E+05
    0.71337E-02    0.19386E+05
    0.72054E-02    0.19494E+05
    0.72778E-02    0.19602E+05
    0.73510E-02    0.19709E+05
    0.74248E-02    0.19816E+05
    0.74994E-02    0.19923E+05
    0.75748E-02    0.20030E+05
    0.76509E-02    0.20136E+05
    0.77278E-02    0.20242E+05
    0.78055E-02    0.20348E+05
    0.78840E-02    0.20453E+05
    0.79632E-02    0.20558E+05
    0.80432E-02    0.20662E+05
    0.81241E-02    0.20766E+05
    0.82057E-02    0.20869E+05
    0.82882E-02    0.20972E+05
    0.83715E-02    0.21074E+05
    0.84556E-02    0.21176E+05
    0.85406E-02    0.21277E+05
    0.86264E-02    0.21378E+05
    0.87131E-02    0.21477E+05
    0.88007E-02    0.21577E+05
    0.88891E-02    0.21675E+05
    0.89785E-02    0.21773E+05
    0.90687E-02    0.21870E+05
    0.91598E-02    0.21967E+05
    0.92519E-02    0.22062E+05
    0.93449E-02    0.22157E+05
    0.94388E-02    0.22251E+05
    0.95337E-02    0.22344E+05
    0.96295E-02    0.22436E+05
    0.97263E-02    0.22528E+05
    0.98240E-02    0.22618E+05
    0.99227E-02    0.22708E+05
    0.10022E-01    0.22796E+05
    0.10123E-01    0.22883E+05
    0.10225E-01    0.22970E+05
    0.10328E-01    0.23055E+05
    0.10431E-01    0.23139E+05
    0.10536E-01    0.23222E+05
    0.10642E-01    0.23304E+05
    0.10749E-01    0.23385E+05
    0.10857E-01    0.23464E+05
    0.10966E-01    0.23542E+05
    0.11077E-01    0.23619E+05
    0.11188E-01    0.23695E+05
    0.11300E-01    0.23769E+05
    0.11414E-01    0.23842E+05
    0.11529E-01    0.23913E+05
    0.11644E-01    0.23983E+05
    0.11761E-01    0.24051E+05
    0.11880E-01    0.24118E+05
    0.11999E-01    0.24183E+05
    0.12120E-01    0.24247E+05
    0.12241E-01    0.24309E+05
    0.12365E-01    0.24369E+05
    0.12489E-01    0.24428E+05
    0.12614E-01    0.24485E+05
    0.12741E-01    0.24540E+05
    0.12869E-01    0.24593E+05
    0.12998E-01    0.24645E+05
    0.13129E-01    0.24695E+05
    0.13261E-01    0.24743E+05
    0.13394E-01    0.24789E+05
    0.13529E-01    0.24833E+05
    0.13665E-01    0.24876E+05
    0.13802E-01    0.24916E+05
    0.13941E-01    0.24953E+05
    0.14081E-01    0.24989E+05
    0.14223E-01    0.25022E+05
    0.14366E-01    0.25053E+05
    0.14510E-01    0.25081E+05
    0.14656E-01    0.25107E+05
    0.14803E-01    0.25130E+05
    0.14952E-01    0.25152E+05
    0.15102E-01    0.25171E+05
    0.15254E-01    0.25188E+05
    0.15407E-01    0.25203E+05
    0.15562E-01    0.25216E+05
    0.15718E-01    0.25228E+05
    0.15876E-01    0.25238E+05
    0.16036E-01    0.25246E+05
    0.16197E-01    0.25254E+05
    0.16360E-01    0.25259E+05
    0.16524E-01    0.25262E+05
